,permalink,name,desc,category_code
0,sti-technologies,STI Technologies,STI Technologies is a mechanical engineering consulting firm specializing in a variety of key engineering services.,software
1,jumio,Jumio,Jumio is an AI platform that enables users to establish their identity remotely to protect against fraud and other financial crime.,software
2,roundpegg,RoundPegg,"RoundPegg is a culture and engagement platform designed for companies, businesses, and organizations.",software
3,personeta,Personeta,Personeta provides converged communication solutions for service providers in the United States and internationally.,software
4,hubspan,Hubspan,Hubspan offers on-demand integration services that enable companies to achieve stronger connections and collaborations.,software
5,synfora,Synfora,"Synfora develops program-in, chip-out technologies that create application engines for sequential, untimed C algorithms.",software
6,contactpoint,ContactPoint,,software
7,correlsense,Correlsense,Correlsense offers enterprise-class software that detects degradations and outages caused by poorly performing apps.,software
8,trov,Trov,"Trov is the world's leading insurance technology platform, enabling the new ways people live, work, and move.",software
9,speechcycle,SpeechCycle,SpeechCycle delivers rich mobile phone applications for global service providers and enterprises.,software
10,abpathfinder,ABPathfinder,Pathfinder Health Innovations is a comprehensive web-based software tool for supporting the implementation of ABA therapy.,software
11,centric-software,Centric Software,"Centric Software provides PLM solutions that help businesses in line planning, calendar materials management, and product specifications.",software
12,codesion,Codesion,Codesion is a software company providing source code management solutions.,software
13,dubblee-media,Dubblee Media,,software
14,levlr,Levlr,Levlr offers a platform that enables companies to integrate game mechanics into their applications for the optimization of user engagement.,software
15,event-farm,Event Farm,"Event Farm provides event professionals invitation, registration, and event activation technologies to promote brands and engage audiences.",software
16,fireapps,FiREapps,THE PLATFORM BUSINESS LEADERS TRUST FOR CURRENCY ANALYTICS INTELLIGENCE,software
17,isecuretrac,iSECUREtrac,"iSECUREtrac provides electronic monitoring systems, client management software, and supplemental services for use in community supervision.",software
18,sweetperk,SweetPerk,,software
19,quandora,Quandora,"Quandora offers Quandora Question and Answer to distributed teams in order to capture, capitalize and communicate proprietary knowledge.",software
20,xobni,Xobni,"Xobni creates complete and searchable social profiles of a user's contacts that include updates from LinkedIn, Facebook, and Twitter.",software
21,mxhero,mxHero,"mxHero develops software applications that enable users, service providers, and companies to manage and analyze their email accounts.",software
22,cmycasa,CmyCasa,"CmyCasa develops user-friendly, flash-based 3D solutions for the home design industry.",software
23,zoopshop,ZoopShop,ZoopShop is engaged in the development of portable online stores that can be embedded on multiple web pages.,software
24,factor-technology-group,Factor Technology Group,Factor Technology Group provides branding and sales data and insights for marketing planning organizations.,software
25,weblink-international,WebLink International,WebLink International offers membership management software and web design solutions for associations and chambers of commerce.,software
26,appneta,AppNeta,AppNeta operates as a SaaS-based application and network performance platform.,software
27,intradiem,Intradiem,Intradiem is a software compay that provides an Intelligent Assistant for customer service teams.,software
28,brevado,Brevado,Brevado enables businesses to provide their clients with project timelines and automatic progress updates.,software
29,socialengine,SocialEngine,SocialEngine is a platform enabling individuals and brands to build social websites and online communities.,software
30,krimmeni-technologies,Krimmeni Technologies,,software
31,perillon-software,Perillon Software,"Perillon Software provides environmental, health, and safety software for chemical plants, utilities, and other industries.",software
32,collectivex,Groupsite,Groupsite offers a platform that allows users to create social networking and collaborative sites.,software
33,signiant,Signiant,"Signiant's provides people and systems with fast, reliable, secure global access to valuable media assets.",software
34,blogfrog,TapInfluence,,software
35,eversync-solutions,Eversync Solutions,"Eversync Solutions provides data protection solutions for data privacy, disaster protection, and business critical applications.",software
36,apptank,AppTank,AppTank is an app development marketplace connecting individuals and businesses with professional app developers.,software
37,satmetrix,Satmetrix,"Satmetrix brings the power of NPS to customer experience management, to help increase customer lifetime value (CLV) and drive growth.",software
38,leveragepoint-innovations,LeveragePoint Innovations,LeveragePoint Innovations provides SaaS-based solutions for customer value management operations in business-to-business companies.,software
39,appstores-com,Appstores.com,Appstores.com develops tools that indicate the relevant applications required for catering to users' needs.,software
40,copperkey,CopperKey,CopperKey provides web-based predictive marketing software and solutions.,software
41,bloomfire,Bloomfire,Bloomfire is a knowledge sharing platform that enables employees to quickly find the information they need to do their jobs.,software
42,seer-technologies-inc,Seer Technologies,Software development,software
43,sdl-enterprise-technologies,SDL Enterprise Technologies,SDL Enterprise Technologies is a SaaS-based platform providing information management solutions for corporations worldwide.,software
44,crix-labs,CRIX Labs,Cognifying everyday products using artificial intelligence.,software
45,jumpsoft,JumpSoft,JumpSoft is a startup software company that provides application assurance software such as JumpCenter.,software
46,marlborough-software,Marlborough Software,Marlborough Software develops a software suit for personalizing and customizing print documents.,software
47,vmlogix,VMLogix,VMLogix provides virtual infrastructure management technologies that streamline software development lifecycles.,software
48,acoustic-technologies,Acoustic Technologies,"Acoustic Technologies, an Arizona-based software company, develops hands-free audio processing software for consumer electronics companies.",software
49,catalytic-software,Catalytic Software,"Prithvi Catalytic provides managed solutions, talent acquisition, and event management services for many enterprise-level projects globally.",software
50,extendcredit-com,ExtendCredit.com,ExtendCredit.com is a web-based software platform that enables users to create and manage in-house customer financing plans.,software
51,imagine-communications,Imagine Communications,Imagine Communications provides digital video processing and edge multiplexing solutions.,software
52,terrago-technologies,TerraGo Technologies,TerraGo Technologies delivers software applications that extend the access and application of maps and images for non-GIS users.,software
53,reveal-data,Reveal Data,"Reveal is a global provider of eDiscovery, compliance and risk technology.",software
54,connected,Connected,Connected is a web-based contacts manager that unifies the user's contacts across their emails and social media into one interface.,software
55,aragon,Aragon Consulting Group,"Aragon Consulting Group is the owner of Krugle.  Krugle is a modern ""Big Data"" platform - created expressly for software.",software
56,core-solutions,Core Solutions,"Core Solutions, Inc. is a provider of electronic health records (EHR) technology for behavioral healthcare.",software
57,conference-hound,Conference Hound,Conference Hound is a global conference discovery platform that facilitates information on conferences held in cities across the US.,software
58,application-security,Application Security,"Application Security provides database security, risk, and compliance solutions for enterprises worldwide.",software
59,catalyst-mobile,Catalyst Mobile,Catalyst Mobile is engaged in the development of content and solutions for mobile devices.,software
60,emailfilm-technologies,EmailFilm Technologies,EmailFilm Technologies develops software that enables full-content videos to be HTML-compatible and included in emails.,software
61,automated-trading-desk,Automated Trading Desk,"Automated Trading Desk develops automated trading systems for the trading companies, buy and sell-side firms, and financial institutions.",software
62,lignup,LignUp,"software, collecting, organizing",software
63,mkn-web-solutions,MKN Web Solutions,MKN Web Solutions is a web-based software development company.,software
64,waterfallmobile,Waterfall Mobile,Waterfall Mobile develops web-based software products for mobile campaign and emergency notification management.,software
65,veeva,Veeva,Veeva Systems is a provider of cloud-based business solutions for the global life sciences industry.,software
66,ripcode,RipCode,RipCode provided a dual application infrastructure solution for delivering video on-demand and real-time video streaming.,software
67,burning-sky-software,Burning Sky Software,"Burning Sky Software develops ConvertXtoDVD, a powerful DVD converter and burner software for converting and burning DVDs.",software
68,ifbyphone,Ifbyphone,DialogTech provides actionable marketing analytics for businesses that value phone calls.,software
69,innroad-inc,innRoad,"innRoad offers a SaaS-based software solution that assists hotels in property management, bookings, and marketing.",software
70,azumio,Azumio,Azumio is a venture-backed company that develops a suite of fitness apps for smartphones.,software
71,bold-guidance,BOLD Guidance,BOLD Guidance provides students with a mobile and computer app that facilitates the college application process.,software
72,pro-v-v,Pro V&V,Pro V&V is a software and a third-party test laboratory specializing in providing compliance testing services for regulated industries.,software
73,gototags,GoToTags,"GoToTags is a solutions provider of software, tags and hardware for NFC, barcode/QR, UHF RFID and other Connected Things technologies.",software
74,bostech,Bostech,,software
75,wespeke,WeSpeke,"WeSpeke is an online, immersive, collaborative platform for language learning and practice and cultural exchange.",software
76,paylocity,Paylocity,Paylocity (NASDAQ: PCTY) is a leading provider of cloud-based payroll and human capital management (HCM) software solutions.,software
77,appscio,Appscio,"Appscio develops applications of media mining algorithms to government, enterprise, and web media management problems.",software
78,claim-maps,Claim Maps,Claim Maps provides visual maps that unlock hidden information in claim management systems to enable knowledge and insights.,software
79,webgen-systems,WebGen Systems,WebGen Systems offers enterprise energy management solutions to conserve and control energy in commercial buildings.,software
80,replysend,ReplySend,ReplySend is a company developing software and tools for email.,software
81,stormpath,Stormpath,Authentication & User Management API,software
82,onvantage,OnVantage,OnVantage provides corporate spend management and supplier marketing technology for the professional meetings and events market.,software
83,promoter-io,Promoter.io,Actionable Customer Feedback & Predictive Experience Management Software,software
84,reble,Reble,Reble offers a software downloading solution for Windows that allows users to stream music from others who also havr Reble installed.,software
85,shoutz,Shoutz,Shoutz provides live videos of Powerball drawings and the winning number information.,software
86,code71,Code71,"Code71, a custom software development and integration specialist, helps SMEs develop and support cloud-based SaaS using Agile and Scrum.",software
87,reamaze,Reamaze,"Re:amaze is a cloud based helpdesk and customer messaging platform to help businesses support, engage, and convert customers.",software
88,visualon,VisualOn,VisualOn is a multimedia software company.,software
89,epac,ePAC Technologies,ePAC Technologies provides printing and logistics solutions for the technology industry.,software
90,knotice,Knotice,Knotice is a direct digital marketing services and software company that provides relevant marketing communications to consumers.,software
91,idonethis,iDoneThis,"I Done This is a software company that offers an email-based productivity log to track, share, and celebrate daily progress.",software
92,conductiv,Conductiv,Conductiv offers software that provides enterprises mobile sales applications for multi-channel retailers and suppliers.,software
93,black-duck-software,Black Duck Software,"Black Duck secures and manages open source software worldwide, eliminating open source security vulnerabilities and license compliance pain.",software
94,ascentis,Ascentis,The Ascentis mission is to create innovative products that are easy to use for the under-served mid-market that cover the full HCM suite.,software
95,telarix,Telarix,"Telarix provides interconnect business optimization solutions to wireline, wireless, broadband, and VoIP communication service providers.",software
96,iosemantics,ioSemantics,Phase Change Software transforms software into an exponential technology and radically improves software development productivity.,software
97,vehrity,Vehrity,Vehrity is a browser application for the commercial auto parts market professional.,software
98,postmaster-io,Postmaster,"Postmaster simplifies carrier integration, optimizes shipments and provides historical analytics to improve the logistics pipeline.",software
99,globalgroup-investment-holdings,GLOBALGROUP INVESTMENT HOLDINGS,Globalgroup Investment Holdings is a technology solutions provider that integrates proprietary technologies into mainstream business use.,software
100,cassatt,Cassatt,Cassat provides software solutions and technologies for operating green data centers.,software
101,market6,Market6,Market6 provides web-based retail analytic applications with advanced analytics built-in to guide retailers and CPG companies.,software
102,xterprise-solutions,Xterprise Solutions,Xterprise is a supply chain operator that provides radio frequency identification (RFID) enterprise application solutions.,software
103,snapin-software,SNAPin Software,"SNAPin Software develops self-service software that facilitates roaming, messaging and data networking solutions in mobile devices.",software
104,blackline,BlackLine Systems,BlackLine offers scalable applications that automate the financial close and other accounting processes.,software
105,illume-software,Illume Software,Illume Software develops solutions to power high-value applications and services.,software
106,orchestra-corporation,Orchestria Corporation,Orchestria provides information protection and control software and solutions for organizations.,software
107,keibi-technologies,Keibi Technologies,Keibi Technologies provides moderation and classification solutions for user-generated content.,software
108,socialvolt,SocialVolt,"SocialVolt provides social media management, brand monitoring, campaigns, influencer management, and compliance solutions.",software
109,vii-network,VII NETWORK,ViiMed is a SaaS-based healthcare IT company focused on solving health system challenges with solutions that are easy to use.,software
110,peoplecube,PeopleCube,"PeopleCube provides intelligent on-demand workplace management solutions, enabling enterprises to cut costs based on actual workspace usage.",software
111,nevolution,Nevolution,Nevolution offers an app store platform for obtaining and maintaining Windows-based software on all types of PCs.,software
112,jigsaw-meeting,Jigsaw Meeting,Jigsaw offers an online meeting system that provides real-time interaction between meeting participants.,software
113,mindjet,Mindjet,MindManager is a commercial mind mapping software application developed by Mindjet.,software
114,cybeye,CybEye,CybEye is a mobile app platform building white-labeled app solutions for SMB across industries.,software
115,geomagic,Geomagic,"Geomagic provides 3D digital modeling software for the professionals involved in the design, reverse engineering and inspection of products.",software
116,jive-software,Jive Software,Jive Software operates as an independent social business software vendor.,software
117,rcdb,Related Content Database (RCDb),Watchwith is a native digital video ad solution TV networks and premium video publishers use to monetize audiences beyond commercial breaks.,software
118,datadog,Datadog,Datadog offers monitoring and analytics for cloud-based workflows.,software
119,dotnetnuke,DotNetNuke,CoolSim is an advanced CFD-based tool available for optimizing energy consumption in data centers.,software
120,socialscope,Socialscope,"Socialscope develops software for mobile phones that centralizes access to Facebook, Twitter, and other networks.",software
121,dialogic,Dialogic,"Dialogic is a cloud-optimized solutions provider for real-time communications media, applications, and infrastructure providers.",software
122,junction-solutions,Junction Solutions,Junction Solutions offers industry-specific ERP solutions and expertise for the retail and consumer goods industries.,software
123,trustribe,Trustribe,Reputation system for the Sharing services.,software
124,reflex,Reflex,Reflex is a document management company.,software
